rank,movie,boxoffice,in_millions
584,"Butch Cassidy and the Sundance Kid (1969)",102308900,102.3089
585,"Mary Poppins (1964)",102300000,102.3
586,"The Mummy: Tomb of the Dragon Emperor (2008)",102176165,102.176165
587,"Jackass Presents: Bad Grandpa (2013)",101978840,101.97884
588,"Pacific Rim (2013)",101785482,101.785482
589,"American Pie (1999)",101736215,101.736215
590,"Journey to the Center of the Earth (2008)",101702060,101.70206
591,"Gone in Sixty Seconds (2000)",101643008,101.643008
592,"Maverick (1994)",101631272,101.631272
593,"Sleeping with the Enemy (1991)",101580000,101.58
594,"The Equalizer (2014)",101530738,101.530738
595,"Stir Crazy (1980)",101500000,101.5
596,"This Is the End (2013)",101470202,101.470202
597,"Scream 2 (1997)",101334374,101.334374
598,"Eraser (1996)",101228120,101.22812
599,"The Prince of Egypt (1998)",101217900,101.2179
600,"Noah (2014)",101160529,101.160529
601,"Unforgiven (1992)",101157447,101.157447
602,"Eagle Eye (2008)",101111837,101.111837
603,"Con Air (1997)",101087161,101.087161
604,"Sleepy Hollow (1999)",101068340,101.06834
605,"Contact (1997)",100853835,100.853835
606,"The Pelican Brief (1993)",100768056,100.768056
607,"Charlie's Angels: Full Throttle (2003)",100685880,100.68588
608,"Vanilla Sky (2001)",100614858,100.614858
609,"The Rugrats Movie (1998)",100491683,100.491683
610,"Airport (1970)",100489150,100.48915
611,"Step Brothers (2008)",100468793,100.468793
612,"Due Date (2010)",100448498,100.448498
613,"Dr. Seuss' The Cat in the Hat (2003)",100446895,100.446895
614,"Million Dollar Baby (2004)",100422786,100.422786
615,"Casper (1995)",100328194,100.328194
616,"Bad Teacher (2011)",100292856,100.292856
617,"Evan Almighty (2007)",100289690,100.28969
618,"Shakespeare in Love (1998)",100241322,100.241322
619,"Jumanji (1995)",100200000,100.2
620,"Edge of Tomorrow (2014)",100189501,100.189501
621,"Yogi Bear (2010)",100169068,100.169068
622,"Se7en (1995)",100125340,100.12534
623,"The Hunchback of Notre Dame (1996)",100117603,100.117603
624,"Parenthood (1989)",100050000,100.05
625,"You Don't Mess with the Zohan (2008)",100018837,100.018837
626,"Die Hard: With a Vengeance (1995)",100012500,100.0125
627,"Collateral (2004)",100003492,100.003492
